id,authors,title,category,abstract,versions,update_date,new_category,generated_abstract,prompt
2008.1275,"Dimitris Perdios, Manuel Vonlanthen, Florian Martinez, Marcel Arditi,
  Jean-Philippe Thiran",CNN-Based Image Reconstruction Method for Ultrafast Ultrasound Imaging,"['eess.IV', 'cs.CV', 'cs.LG']","  Ultrafast ultrasound (US) revolutionized biomedical imaging with its
capability of acquiring full-view frames at over 1 kHz, unlocking breakthrough
modalities such as shear-wave elastography and functional US neuroimaging. Yet,
it suffers from strong diffraction artifacts, mainly caused by grating lobes,
side lobes, or edge waves. Multiple acquisitions are typically required to
obtain a sufficient image quality, at the cost of a reduced frame rate. To
answer the increasing demand for high-quality imaging from single unfocused
acquisitions, we propose a two-step convolutional neural network (CNN)-based
image reconstruction method, compatible with real-time imaging. A low-quality
estimate is obtained by means of a backprojection-based operation, akin to
conventional delay-and-sum beamforming, from which a high-quality image is
restored using a residual CNN with multiscale and multichannel filtering
properties, trained specifically to remove the diffraction artifacts inherent
to ultrafast US imaging. To account for both the high dynamic range and the
oscillating properties of radio frequency US images, we introduce the mean
signed logarithmic absolute error (MSLAE) as a training loss function.
Experiments were conducted with a linear transducer array, in single plane-wave
(PW) imaging. Trainings were performed on a simulated dataset, crafted to
contain a wide diversity of structures and echogenicities. Extensive numerical
evaluations demonstrate that the proposed approach can reconstruct images from
single PWs with a quality similar to that of gold-standard synthetic aperture
imaging, on a dynamic range in excess of 60 dB. In vitro and in vivo
experiments show that trainings carried out on simulated data perform well in
experimental settings.
","[{'version': 'v1', 'created': 'Fri, 28 Aug 2020 17:15:37 GMT'}, {'version': 'v2', 'created': 'Wed, 26 Jan 2022 14:28:06 GMT'}, {'version': 'v3', 'created': 'Fri, 1 Apr 2022 17:45:10 GMT'}]",2022-04-04,"['Computer Vision and Pattern Recognition', 'Machine Learning']","This paper presents a novel CNN-based image reconstruction method for ultrafast ultrasound imaging. The proposed method combines the advantages of convolutional neural networks (CNNs) and ultrasound imaging to achieve high-quality images with low computational complexity. The proposed method is evaluated on a dataset of simulated ultrasound images and compared to two state-of-the-art methods. Results indicate that the proposed method outperforms the other methods in terms of image quality and computational complexity. Furthermore, the proposed method is able to capture subtle features in the images that are not visible in the other methods. The results of this paper demonstrate the potential of the proposed method for ultrafast ultrasound imaging.","Write an abstract for a paper called CNN-Based Image Reconstruction Method for Ultrafast Ultrasound Imaging about Computer Vision and Pattern Recognition, Machine Learning"
2207.14561,"Yuki Kadokawa, Lingwei Zhu, Yoshihisa Tsurumine, Takamitsu Matsubara","Cyclic Policy Distillation: Sample-Efficient Sim-to-Real Reinforcement
  Learning with Domain Randomization","['cs.RO', 'cs.LG']","  Deep reinforcement learning with domain randomization learns a control policy
in various simulations with randomized physical and sensor model parameters to
become transferable to the real world in a zero-shot setting. However, a huge
number of samples are often required to learn an effective policy when the
range of randomized parameters is extensive due to the instability of policy
updates. To alleviate this problem, we propose a sample-efficient method named
cyclic policy distillation (CPD). CPD divides the range of randomized
parameters into several small sub-domains and assigns a local policy to each
one. Then local policies are learned while cyclically transitioning to
sub-domains. CPD accelerates learning through knowledge transfer based on
expected performance improvements. Finally, all of the learned local policies
are distilled into a global policy for sim-to-real transfers. CPD's
effectiveness and sample efficiency are demonstrated through simulations with
four tasks (Pendulum from OpenAIGym and Pusher, Swimmer, and HalfCheetah from
Mujoco), and a real-robot, ball-dispersal task. We published code and videos
from our experiments at
https://github.com/yuki-kadokawa/cyclic-policy-distillation.
","[{'version': 'v1', 'created': 'Fri, 29 Jul 2022 09:22:53 GMT'}, {'version': 'v2', 'created': 'Mon, 10 Apr 2023 07:02:05 GMT'}]",2023-04-11,"['Robotics', 'Machine Learning']",", and Artificial Intelligence

This paper presents a novel reinforcement learning technique called Cyclic Policy Distillation (CPD) for sample-efficient sim-to-real transfer of robotic control policies. CPD is based on the concept of domain randomization, which randomly perturbs the simulation environment to generate a diverse set of training data. The proposed method uses a cyclic training process to transfer the learned policy from simulation to the real world. The effectiveness of CPD is demonstrated through experiments on a real-world robotic arm, where it is shown to outperform existing sim-to-real transfer techniques in terms of sample efficiency. Furthermore, the results show that CPD is able to generalize well to unseen environments, and is capable of learning complex manipulation tasks with a limited amount of data. The proposed method can be used as a powerful tool for robotic control, machine learning, and artificial intelligence research.","Write an abstract for a paper called Cyclic Policy Distillation: Sample-Efficient Sim-to-Real Reinforcement
  Learning with Domain Randomization about Robotics, Machine Learning"
2207.08389,"Amir H. Ashouri, Mostafa Elhoushi, Yuzhe Hua, Xiang Wang, Muhammad
  Asif Manzoor, Bryan Chan and Yaoqing Gao",MLGOPerf: An ML Guided Inliner to Optimize Performance,"['cs.PL', 'cs.AI', 'cs.LG', 'cs.NE', 'cs.PF']","  For the past 25 years, we have witnessed an extensive application of Machine
Learning to the Compiler space; the selection and the phase-ordering problem.
However, limited works have been upstreamed into the state-of-the-art
compilers, i.e., LLVM, to seamlessly integrate the former into the optimization
pipeline of a compiler to be readily deployed by the user. MLGO was among the
first of such projects and it only strives to reduce the code size of a binary
with an ML-based Inliner using Reinforcement Learning.
  This paper presents MLGOPerf; the first end-to-end framework capable of
optimizing performance using LLVM's ML-Inliner. It employs a secondary ML model
to generate rewards used for training a retargeted Reinforcement learning
agent, previously used as the primary model by MLGO. It does so by predicting
the post-inlining speedup of a function under analysis and it enables a fast
training framework for the primary model which otherwise wouldn't be practical.
The experimental results show MLGOPerf is able to gain up to 1.8% and 2.2% with
respect to LLVM's optimization at O3 when trained for performance on SPEC
CPU2006 and Cbench benchmarks, respectively. Furthermore, the proposed approach
provides up to 26% increased opportunities to autotune code regions for our
benchmarks which can be translated into an additional 3.7% speedup value.
","[{'version': 'v1', 'created': 'Mon, 18 Jul 2022 05:47:29 GMT'}, {'version': 'v2', 'created': 'Tue, 19 Jul 2022 15:07:17 GMT'}]",2023-01-18,"['Programming Languages', 'Artificial Intelligence', 'Machine Learning', 'Neural and Evolutionary Computing', 'Performance']","This paper introduces MLGOPerf, a novel machine learning-guided inliner for optimizing performance of programming languages. MLGOPerf leverages artificial intelligence, machine learning, neural and evolutionary computing to identify potential inlining opportunities and to determine which of them should be applied to enhance the performance of a given program. Our experimental results on a variety of programs demonstrate that MLGOPerf can significantly improve the performance of existing programs. Furthermore, we discuss the potential of MLGOPerf to be applied in other domains such as compilers, databases, and web services. Finally, we discuss the implications of our work and the potential for future research.","Write an abstract for a paper called MLGOPerf: An ML Guided Inliner to Optimize Performance about Programming Languages, Artificial Intelligence, Machine Learning, Neural and Evolutionary Computing, Performance"
2204.11428,"Prantika Chakraborty, Sudakshina Dutta, Debarshi Kumar Sanyal",Personal Research Knowledge Graphs,"['cs.IR', 'cs.HC']","  Maintaining research-related information in an organized manner can be
challenging for a researcher. In this paper, we envision personal research
knowledge graphs (PRKGs) as a means to represent structured information about
the research activities of a researcher. PRKGs can be used to power intelligent
personal assistants, and personalize various applications. We explore what
entities and relations could be potentially included in a PRKG, how to extract
them from various sources, and how to share a PRKG within a research group.
","[{'version': 'v1', 'created': 'Mon, 25 Apr 2022 04:31:33 GMT'}]",2022-04-26,"['Information Retrieval', 'Human-Computer Interaction']",", and Machine Learning

This paper investigates the potential of Personal Research Knowledge Graphs (PRKGs) for improving information retrieval, human-computer interaction, and machine learning. PRKGs are graph-based systems that capture the knowledge of an individual or organization, allowing them to easily access and share information. We discuss the advantages of PRKGs over traditional search engines, and explore how they can be used to improve information retrieval, human-computer interaction, and machine learning. We present a case study of a PRKG-based system used to improve the retrieval of relevant information from a large dataset. We then discuss the implications of PRKGs for the future of information retrieval, human-computer interaction, and machine learning. Finally, we provide recommendations for further research in the area of PRKGs.","Write an abstract for a paper called Personal Research Knowledge Graphs about Information Retrieval, Human-Computer Interaction"
2209.10117,"Wenqi Fan, Xiangyu Zhao, Xiao Chen, Jingran Su, Jingtong Gao, Lin
  Wang, Qidong Liu, Yiqi Wang, Han Xu, Lei Chen, Qing Li",A Comprehensive Survey on Trustworthy Recommender Systems,"['cs.IR', 'cs.AI', 'cs.CR', 'cs.LG']","  As one of the most successful AI-powered applications, recommender systems
aim to help people make appropriate decisions in an effective and efficient
way, by providing personalized suggestions in many aspects of our lives,
especially for various human-oriented online services such as e-commerce
platforms and social media sites. In the past few decades, the rapid
developments of recommender systems have significantly benefited human by
creating economic value, saving time and effort, and promoting social good.
However, recent studies have found that data-driven recommender systems can
pose serious threats to users and society, such as spreading fake news to
manipulate public opinion in social media sites, amplifying unfairness toward
under-represented groups or individuals in job matching services, or inferring
privacy information from recommendation results. Therefore, systems'
trustworthiness has been attracting increasing attention from various aspects
for mitigating negative impacts caused by recommender systems, so as to enhance
the public's trust towards recommender systems techniques. In this survey, we
provide a comprehensive overview of Trustworthy Recommender systems (TRec) with
a specific focus on six of the most important aspects; namely, Safety &
Robustness, Nondiscrimination & Fairness, Explainability, Privacy,
Environmental Well-being, and Accountability & Auditability. For each aspect,
we summarize the recent related technologies and discuss potential research
directions to help achieve trustworthy recommender systems in the future.
","[{'version': 'v1', 'created': 'Wed, 21 Sep 2022 04:34:17 GMT'}]",2022-09-22,"['Information Retrieval', 'Artificial Intelligence', 'Cryptography and Security', 'Machine Learning']","This paper presents a comprehensive survey of trustworthy recommender systems in the areas of information retrieval, artificial intelligence, cryptography and security, and machine learning. It begins by discussing the need for trustworthiness in recommender systems and the various techniques used to ensure trustworthiness. It then examines the roles of information retrieval, artificial intelligence, cryptography and security, and machine learning in the design and implementation of trustworthy recommender systems. The paper then reviews existing research and literature on the topic, including the various methods and techniques used to support trustworthiness in recommender systems. Finally, the paper provides a set of recommendations for further research in the area of trustworthy recommender systems. The paper concludes by summarizing the key findings and providing a set of future research directions.","Write an abstract for a paper called A Comprehensive Survey on Trustworthy Recommender Systems about Information Retrieval, Artificial Intelligence, Cryptography and Security, Machine Learning"
2001.03707,"Sen Na, Mihai Anitescu",Superconvergence of Online Optimization for Model Predictive Control,"['math.OC', 'cs.NA', 'cs.SY', 'eess.SY', 'math.DS', 'math.NA']","  We develop a one-Newton-step-per-horizon, online, lag-$L$, model predictive
control (MPC) algorithm for solving discrete-time, equality-constrained,
nonlinear dynamic programs. Based on recent sensitivity analysis results for
the target problems class, we prove that the approach exhibits a behavior that
we call superconvergence; that is, the tracking error with respect to the full
horizon solution is not only stable for successive horizon shifts, but also
decreases with increasing shift order to a minimum value that decays
exponentially in the length of the receding horizon. The key analytical step is
the decomposition of the one-step error recursion of our algorithm into
algorithmic error and perturbation error. We show that the perturbation error
decays exponentially with the lag between two consecutive receding horizons,
while~the algorithmic error, determined by Newton's method, achieves quadratic
convergence instead. Overall this approach induces our local exponential
convergence result in terms of the receding horizon length for suitable values
of $L$. Numerical experiments validate our theoretical findings.
","[{'version': 'v1', 'created': 'Sat, 11 Jan 2020 03:29:48 GMT'}, {'version': 'v2', 'created': 'Sat, 5 Feb 2022 19:01:00 GMT'}]",2022-02-08,"['Numerical Analysis', 'Systems and Control']","This paper investigates the superconvergence of online optimization for model predictive control (MPC) with numerical analysis, systems, and control. The paper provides a comprehensive overview of the state-of-the-art in online optimization for MPC, and presents a novel approach for superconvergence of the optimization process. The proposed approach is based on a combination of numerical analysis, systems and control theory, and machine learning. The paper further presents a numerical analysis of the proposed approach, and demonstrates its effectiveness in terms of convergence speed and accuracy. Finally, the paper provides a discussion of the potential applications of the proposed approach, and its implications for the field of model predictive control.","Write an abstract for a paper called Superconvergence of Online Optimization for Model Predictive Control about Numerical Analysis, Systems and Control"
2208.093,"William T. Ng, K. Siu, Albert C. Cheung, Michael K. Ng","Expressing Multivariate Time Series as Graphs with Time Series Attention
  Transformer","['cs.LG', 'cs.AI', 'math.DS', 'math.RT']","  A reliable and efficient representation of multivariate time series is
crucial in various downstream machine learning tasks. In multivariate time
series forecasting, each variable depends on its historical values and there
are inter-dependencies among variables as well. Models have to be designed to
capture both intra- and inter-relationships among the time series. To move
towards this goal, we propose the Time Series Attention Transformer (TSAT) for
multivariate time series representation learning. Using TSAT, we represent both
temporal information and inter-dependencies of multivariate time series in
terms of edge-enhanced dynamic graphs. The intra-series correlations are
represented by nodes in a dynamic graph; a self-attention mechanism is modified
to capture the inter-series correlations by using the super-empirical mode
decomposition (SMD) module. We applied the embedded dynamic graphs to times
series forecasting problems, including two real-world datasets and two
benchmark datasets. Extensive experiments show that TSAT clearly outerperforms
six state-of-the-art baseline methods in various forecasting horizons. We
further visualize the embedded dynamic graphs to illustrate the graph
representation power of TSAT. We share our code at
https://github.com/RadiantResearch/TSAT.
","[{'version': 'v1', 'created': 'Fri, 19 Aug 2022 12:25:56 GMT'}]",2022-08-22,"['Machine Learning', 'Artificial Intelligence']","This paper presents a novel approach to expressing multivariate time series as graphs with Time Series Attention Transformer (TSAT), a machine learning and artificial intelligence model. TSAT is a deep learning model that is capable of capturing the temporal dependencies of multivariate time series and learning to predict future values. The model is composed of an encoder-decoder architecture, with an attention mechanism that allows the model to focus on important features and reduce the amount of time series data needed for training. Our experiments demonstrate that the proposed TSAT model outperforms existing methods in terms of accuracy and efficiency, and is able to accurately capture the temporal dependencies in multivariate time series. The results of our experiments also show that the model can accurately capture complex patterns in time series data, and can be used for forecasting and anomaly detection.","Write an abstract for a paper called Expressing Multivariate Time Series as Graphs with Time Series Attention
  Transformer about Machine Learning, Artificial Intelligence"
2211.09081,"Hamid Reza Hashempour, Hamed Bastami, Majid Moradikia, Seyed
  A.Zekavat, Hamid Behroozi, and A. Lee Swindlehurst","Secure SWIPT in STAR-RIS Aided Downlink MISO Rate-Splitting Multiple
  Access Networks","['cs.IT', 'eess.SP', 'math.IT']","  Recently, simultaneously transmitting and reflecting reconfigurable
intelligent surfaces (STAR-RISs) have emerged as a novel technology that
facilitates sustainable communication by providing 360 coverage and new
degrees-of-freedom (DoF) for manipulating signal propagation as well as
simultaneous wireless information and power transfer (SWIPT). Inspired by these
applications, this paper presents a novel STAR-RIS-aided secure SWIPT system
for downlink multiple input single output (MISO) Rate-Splitting multiple access
(RSMA) networks. The transmitter concurrently communicates with the information
receivers (IRs) and sends energy to untrusted energy receivers (UERs). UERs are
also able to wiretap the IR streams. The paper assumes that the channel state
information (CSI) of the IRs is known at the transmitter. However, only
imperfect CSI (ICSI) for the UERs is available at the transmitter. The paper
aims to maximize the achievable worst-case sum secrecy rate (WCSSR) of the IRs
under a total transmit power constraint, a sum energy constraint for the UERs,
and constraints on the transmission and reflection coefficients by jointly
optimizing the precoders and the transmission and reflection beamforming at the
STAR-RIS. The formulated problem is non-convex with intricately coupled
variables, and to tackle this challenge a suboptimal two-step iterative
algorithm based on the sequential parametric convex approximation (SPCA) method
is proposed. Specifically, the precoders and the transmission and reflection
beamforming vectors are optimized alternatingly. Simulations are conducted to
show that the proposed RSMA-based algorithm in a STAR-RIS aided network can
improve the secrecy of the confidential information and the overall spectral
efficiency.
","[{'version': 'v1', 'created': 'Wed, 16 Nov 2022 18:02:53 GMT'}]",2022-11-17,['Information Theory'],"This paper explores the application of secure simultaneous wireless information and power transfer (SWIPT) in a multiple-input single-output (MISO) rate-splitting multiple access (RSMA) network aided by a simultaneous transmission and reception (STAR-RIS) system. We analyze the secure SWIPT in the rate-splitting multiple access (RSMA) network, and derive the optimal power allocation and rate-splitting coefficients to maximize the achievable secrecy rate. We further investigate the impact of the number of antennas and the number of users on the secrecy rate of the system. Our simulation results reveal that the secrecy rate is improved by increasing the number of antennas, and the maximum secrecy rate is achieved when the number of users is equal to the number of antennas. The results of this paper provide insights into the secure SWIPT in RSMA networks with STAR-RIS systems and can be used to design secure communication systems.","Write an abstract for a paper called Secure SWIPT in STAR-RIS Aided Downlink MISO Rate-Splitting Multiple
  Access Networks about Information Theory"
2102.08026,"Nabil Ibtehaz, Muhammad E. H. Chowdhury, Amith Khandakar, Serkan
  Kiranyaz, M. Sohel Rahman, Anas Tahir, Yazan Qiblawey, and Tawsifur Rahman","EDITH :ECG biometrics aided by Deep learning for reliable Individual
  auTHentication","['cs.LG', 'cs.AI', 'cs.CR']","  In recent years, physiological signal based authentication has shown great
promises,for its inherent robustness against forgery. Electrocardiogram (ECG)
signal, being the most widely studied biosignal, has also received the highest
level of attention in this regard. It has been proven with numerous studies
that by analyzing ECG signals from different persons, it is possible to
identify them, with acceptable accuracy. In this work, we present, EDITH, a
deep learning-based framework for ECG biometrics authentication system.
Moreover, we hypothesize and demonstrate that Siamese architectures can be used
over typical distance metrics for improved performance. We have evaluated EDITH
using 4 commonly used datasets and outperformed the prior works using less
number of beats. EDITH performs competitively using just a single heartbeat
(96-99.75% accuracy) and can be further enhanced by fusing multiple beats (100%
accuracy from 3 to 6 beats). Furthermore, the proposed Siamese architecture
manages to reduce the identity verification Equal Error Rate (EER) to 1.29%. A
limited case study of EDITH with real-world experimental data also suggests its
potential as a practical authentication system.
","[{'version': 'v1', 'created': 'Tue, 16 Feb 2021 08:45:17 GMT'}, {'version': 'v2', 'created': 'Sun, 14 Nov 2021 01:37:03 GMT'}]",2022-01-24,"['Machine Learning', 'Artificial Intelligence', 'Cryptography and Security']","This paper examines the use of deep learning techniques to aid in the authentication of individuals using electrocardiogram (ECG) biometrics. The paper explores the potential of using machine learning, artificial intelligence, cryptography and security to improve the reliability of ECG biometrics. We present a novel approach which combines ECG biometrics with deep learning to improve authentication accuracy and reliability. We evaluate our approach using a publicly available ECG dataset and demonstrate that our method outperforms existing approaches in terms of accuracy, reliability and security. Finally, we discuss the implications and potential applications of our proposed approach.","Write an abstract for a paper called EDITH :ECG biometrics aided by Deep learning for reliable Individual
  auTHentication about Machine Learning, Artificial Intelligence, Cryptography and Security"
2203.1286,"Felix S. Campbell, Bahareh Sadat Arab, Boris Glavic",Efficient Answering of Historical What-if Queries,['cs.DB'],"  We introduce historical what-if queries, a novel type of what-if analysis
that determines the effect of a hypothetical change to the transactional
history of a database. For example, ""how would revenue be affected if we would
have charged an additional $6 for shipping?"" Such queries may lead to more
actionable insights than traditional what-if queries as their results can be
used to inform future actions, e.g., increasing shipping fees. We develop
efficient techniques for answering historical what-if queries, i.e.,
determining how a modified history affects the current database state. Our
techniques are based on reenactment, a replay technique for transactional
histories. We optimize this process using program and data slicing techniques
that determine which updates and what data can be excluded from reenactment
without affecting the result. Using an implementation of our techniques in
Mahif (a Middleware for Answering Historical what-IF queries) we demonstrate
their effectiveness experimentally.
","[{'version': 'v1', 'created': 'Thu, 24 Mar 2022 05:52:10 GMT'}]",2022-03-25,['Databases'],"This paper presents an efficient method for answering what-if queries about historical databases. We propose a novel approach to efficiently answer queries about databases that have been modified over time. Our method uses a combination of temporal logic, database query optimization techniques, and historical data analysis to answer queries that involve changes to the database over time. We demonstrate the effectiveness of our method through experiments on a real-world dataset. Our results show that our method can answer queries about historical databases quickly and accurately. In addition, we discuss potential applications of our method, such as providing support for data-driven decision-making.",Write an abstract for a paper called Efficient Answering of Historical What-if Queries about Databases
2203.14191,"Aron Brenner, Manxi Wu, and Saurabh Amin","Interpretable Machine Learning Models for Modal Split Prediction in
  Transportation Systems",['cs.LG'],"  Modal split prediction in transportation networks has the potential to
support network operators in managing traffic congestion and improving transit
service reliability. We focus on the problem of hourly prediction of the
fraction of travelers choosing one mode of transportation over another using
high-dimensional travel time data. We use logistic regression as base model and
employ various regularization techniques for variable selection to prevent
overfitting and resolve multicollinearity issues. Importantly, we interpret the
prediction accuracy results with respect to the inherent variability of modal
splits and travelers' aggregate responsiveness to changes in travel time. By
visualizing model parameters, we conclude that the subset of segments found
important for predictive accuracy changes from hour-to-hour and include
segments that are topologically central and/or highly congested. We apply our
approach to the San Francisco Bay Area freeway and rapid transit network and
demonstrate superior prediction accuracy and interpretability of our method
compared to pre-specified variable selection methods.
","[{'version': 'v1', 'created': 'Sun, 27 Mar 2022 02:59:00 GMT'}, {'version': 'v2', 'created': 'Sat, 24 Sep 2022 15:44:05 GMT'}]",2023-03-17,['Machine Learning'],"This paper presents a novel approach to predicting modal split in transportation systems using interpretable machine learning models. Modal split is an important concept in transportation planning, as it describes the proportion of trips taken by different modes of transportation. Currently, there is a lack of interpretable models that can accurately predict modal split. This paper proposes a new method for predicting modal split using a combination of interpretable machine learning models. Specifically, a novel combination of decision trees, random forests, and gradient boosting algorithms is used to predict modal split. The performance of the proposed model is compared to that of existing models, and the results demonstrate that the proposed model is more accurate and interpretable than existing models. The paper also provides insights into how the proposed model can be used to inform transportation planning decisions. The results of this work provide a valuable contribution to the field of transportation planning and demonstrate the potential of interpretable machine learning models in this domain.","Write an abstract for a paper called Interpretable Machine Learning Models for Modal Split Prediction in
  Transportation Systems about Machine Learning"
